dengue_year,dengue_week,week_date_range,weekly_travel_cases,cumulative_travel_cases,weekly_local_cases,cumulative_local_cases,dengue_week_start,dengue_week_end,climate_year,climate_week,Week_Start,Week_End,Temp @ 60cm (C) Avg (Weekly Avg),Temp @ 2m (C) Avg (Weekly Avg),Temp @ 10m (C) Avg (Weekly Avg),Relative Humidity (%) Avg (Weekly Avg),Rainfall Amount (in) Sum (Weekly Avg)
2024,28,"July 7-13, 2024",8.0,300.0,4.0,24.0,2024-07-07,2024-07-13,2024,27,2024-07-07,2024-07-13,28.1673,27.9261,27.9779,81.0734,0.1767
2024,29,"July 14-20, 2024",18.0,318.0,2.0,26.0,2024-07-14,2024-07-20,2024,28,2024-07-14,2024-07-20,27.6539,27.3552,27.4198,82.4166,0.2802
2024,30,"July 21-27, 2024",25.0,343.0,1.0,27.0,2024-07-21,2024-07-27,2024,29,2024-07-21,2024-07-27,27.7003,27.4097,27.4131,83.2203,0.3345
2024,31,"July 28-August 3, 2024",16.0,359.0,1.0,28.0,2024-07-28,2024-08-03,2024,30,2024-07-28,2024-08-03,27.6177,27.3272,27.3391,83.2957,0.2896
2024,32,"August 4-10, 2024",15.0,374.0,0.0,28.0,2024-08-04,2024-08-10,2024,31,2024-08-04,2024-08-10,28.1559,28.0363,28.0083,83.7249,0.6413
2024,33,"August 11-17, 2024",45.0,419.0,5.0,33.0,2024-08-11,2024-08-17,2024,32,2024-08-11,2024-08-17,28.1771,27.9248,28.0121,80.0368,0.1354
2024,34,"August 18-24, 2024",39.0,458.0,2.0,35.0,2024-08-18,2024-08-24,2024,33,2024-08-18,2024-08-24,27.1882,26.9607,27.011,81.5186,0.1975
2024,35,"August 25-31, 2024",39.0,497.0,4.0,39.0,2024-08-25,2024-08-31,2024,34,2024-08-25,2024-08-31,27.3309,27.1043,27.1008,84.2031,0.1686
2024,36,"September 1-7, 2024",23.0,520.0,2.0,41.0,2024-09-01,2024-09-07,2024,35,2024-09-01,2024-09-07,27.0706,26.8183,26.7833,86.0122,0.4029
2024,37,"September 8-14, 2024",36.0,556.0,4.0,45.0,2024-09-08,2024-09-14,2024,36,2024-09-08,2024-09-14,26.7178,26.47,26.4044,88.1455,0.4164
2024,38,"September 15-21, 2024",24.0,580.0,2.0,47.0,2024-09-15,2024-09-21,2024,37,2024-09-15,2024-09-21,26.4919,26.2408,26.2909,83.5809,0.1071
